=== GC_1m_1789910262328.csv (5004 5m bars (aggregated), tickSize=0.1, stopRule=ZONE_SIZE_MULTIPLE(1.5), RR=1.0) ===
structure: 95 valid pullbacks, 66 TJL pairs formed, 26 flips
trades: 234 (65W / 163L / 6 flat)
totalR=-98.00 avgR=-0.42 maxDrawdownR=100.00

  2026-09-04T12:30:00Z LONG  entry=4441.90 stop=4438.70 target=4445.10 exit=4438.70 (stop) R=-1.00
  2026-09-04T13:20:00Z SHORT entry=4451.60 stop=4457.60 target=4445.60 exit=4457.60 (stop) R=-1.00
  2026-09-04T13:35:00Z LONG  entry=4454.70 stop=4448.70 target=4460.70 exit=4460.70 (target) R=1.00
  2026-09-04T17:40:00Z LONG  entry=4464.50 stop=4463.90 target=4465.10 exit=4463.90 (stop) R=-1.00
  2026-09-04T17:55:00Z LONG  entry=4464.00 stop=4463.40 target=4464.60 exit=4463.40 (stop) R=-1.00
  2026-09-04T18:05:00Z SHORT entry=4465.70 stop=4466.30 target=4465.10 exit=4466.30 (stop) R=-1.00
  2026-09-06T22:00:00Z SHORT entry=4468.50 stop=4469.10 target=4467.90 exit=4469.10 (stop) R=-1.00
  2026-09-07T08:10:00Z SHORT entry=4462.20 stop=4465.10 target=4459.30 exit=4465.10 (stop) R=-1.00
  2026-09-07T08:20:00Z SHORT entry=4463.60 stop=4466.50 target=4460.70 exit=4466.50 (stop) R=-1.00
  2026-09-07T08:35:00Z LONG  entry=4461.20 stop=4458.30 target=4464.10 exit=4458.30 (stop) R=-1.00
  2026-09-07T10:30:00Z LONG  entry=4439.80 stop=4433.50 target=4446.10 exit=4433.50 (stop) R=-1.00
  2026-09-07T11:00:00Z LONG  entry=4436.30 stop=4430.00 target=4442.60 exit=4430.00 (stop) R=-1.00
  2026-09-07T11:35:00Z LONG  entry=4434.00 stop=4429.60 target=4438.40 exit=4438.40 (target) R=1.00
  2026-09-07T12:25:00Z LONG  entry=4440.60 stop=4434.30 target=4446.90 exit=4446.90 (target) R=1.00
  2026-09-07T14:45:00Z LONG  entry=4459.40 stop=4456.50 target=4462.30 exit=4462.30 (target) R=1.00
  2026-09-07T23:35:00Z LONG  entry=4466.30 stop=4463.40 target=4469.20 exit=4469.20 (target) R=1.00
  2026-09-08T05:25:00Z LONG  entry=4465.50 stop=4462.50 target=4468.50 exit=4468.50 (target) R=1.00
  2026-09-08T05:35:00Z LONG  entry=4472.10 stop=4469.10 target=4475.10 exit=4469.10 (stop) R=-1.00
  2026-09-08T05:50:00Z LONG  entry=4464.30 stop=4461.30 target=4467.30 exit=4461.30 (stop) R=-1.00
  2026-09-08T11:35:00Z SHORT entry=4449.30 stop=4451.70 target=4446.90 exit=4446.90 (target) R=1.00
  2026-09-08T12:30:00Z SHORT entry=4449.60 stop=4452.00 target=4447.20 exit=4447.20 (target) R=1.00
  2026-09-08T12:55:00Z SHORT entry=4456.10 stop=4458.50 target=4453.70 exit=4453.70 (target) R=1.00
  2026-09-08T13:10:00Z SHORT entry=4453.00 stop=4455.40 target=4450.60 exit=4455.40 (stop) R=-1.00
  2026-09-08T13:20:00Z SHORT entry=4447.60 stop=4450.00 target=4445.20 exit=4445.20 (target) R=1.00
  2026-09-08T13:55:00Z SHORT entry=4440.30 stop=4442.70 target=4437.90 exit=4442.70 (stop) R=-1.00
  2026-09-08T15:00:00Z SHORT entry=4448.30 stop=4450.70 target=4445.90 exit=4445.90 (target) R=1.00
  2026-09-08T15:10:00Z SHORT entry=4450.00 stop=4452.40 target=4447.60 exit=4452.40 (stop) R=-1.00
  2026-09-08T18:45:00Z SHORT entry=4408.10 stop=4408.40 target=4407.80 exit=4408.40 (stop) R=-1.00
  2026-09-09T00:50:00Z SHORT entry=4403.70 stop=4404.90 target=4402.50 exit=4404.90 (stop) R=-1.00
  2026-09-09T01:00:00Z LONG  entry=4401.40 stop=4400.20 target=4402.60 exit=4402.60 (target) R=1.00
  2026-09-09T09:15:00Z LONG  entry=4443.90 stop=4439.40 target=4448.40 exit=4439.40 (stop) R=-1.00
  2026-09-09T09:50:00Z LONG  entry=4435.30 stop=4430.80 target=4439.80 exit=4430.80 (stop) R=-1.00
  2026-09-09T10:20:00Z SHORT entry=4438.30 stop=4442.80 target=4433.80 exit=4442.80 (stop) R=-1.00
  2026-09-09T10:50:00Z SHORT entry=4445.50 stop=4448.70 target=4442.30 exit=4448.70 (stop) R=-1.00
  2026-09-09T11:45:00Z SHORT entry=4458.40 stop=4460.10 target=4456.70 exit=4456.70 (target) R=1.00
  2026-09-09T12:05:00Z SHORT entry=4447.60 stop=4450.80 target=4444.40 exit=4444.40 (target) R=1.00
  2026-09-09T12:15:00Z SHORT entry=4440.80 stop=4444.00 target=4437.60 exit=4444.00 (stop) R=-1.00
  2026-09-09T12:25:00Z SHORT entry=4438.50 stop=4443.00 target=4434.00 exit=4443.00 (stop) R=-1.00
  2026-09-09T12:50:00Z SHORT entry=4443.10 stop=4447.60 target=4438.60 exit=4447.60 (stop) R=-1.00
  2026-09-09T13:10:00Z SHORT entry=4457.80 stop=4459.50 target=4456.10 exit=4459.50 (stop) R=-1.00
  2026-09-09T13:55:00Z LONG  entry=4459.30 stop=4457.60 target=4461.00 exit=4461.00 (target) R=1.00
  2026-09-09T14:20:00Z LONG  entry=4454.20 stop=4452.50 target=4455.90 exit=4455.90 (target) R=1.00
  2026-09-09T15:00:00Z LONG  entry=4439.50 stop=4437.80 target=4441.20 exit=4437.80 (stop) R=-1.00
  2026-09-09T15:10:00Z LONG  entry=4434.80 stop=4429.10 target=4440.50 exit=4429.10 (stop) R=-1.00
  2026-09-09T15:20:00Z SHORT entry=4427.80 stop=4433.50 target=4422.10 exit=4433.50 (stop) R=-1.00
  2026-09-10T00:00:00Z SHORT entry=4435.70 stop=4441.40 target=4430.00 exit=4441.40 (stop) R=-1.00
  2026-09-10T06:00:00Z SHORT entry=4470.90 stop=4476.20 target=4465.60 exit=4465.60 (target) R=1.00
  2026-09-10T09:05:00Z SHORT entry=4434.30 stop=4440.00 target=4428.60 exit=4440.00 (stop) R=-1.00
  2026-09-10T10:10:00Z SHORT entry=4437.90 stop=4443.60 target=4432.20 exit=4432.20 (target) R=1.00
  2026-09-11T00:00:00Z SHORT entry=4360.00 stop=4362.70 target=4357.30 exit=4362.70 (stop) R=-1.00
  2026-09-11T00:10:00Z SHORT entry=4359.60 stop=4362.30 target=4356.90 exit=4362.30 (stop) R=-1.00
  2026-09-11T00:25:00Z SHORT entry=4364.20 stop=4366.90 target=4361.50 exit=4361.50 (target) R=1.00
  2026-09-11T02:30:00Z LONG  entry=4359.70 stop=4357.00 target=4362.40 exit=4357.00 (stop) R=-1.00
  2026-09-11T02:40:00Z LONG  entry=4359.20 stop=4356.50 target=4361.90 exit=4356.50 (stop) R=-1.00
  2026-09-11T03:05:00Z LONG  entry=4358.30 stop=4355.00 target=4361.60 exit=4355.00 (stop) R=-1.00
  2026-09-11T03:15:00Z LONG  entry=4355.00 stop=4351.70 target=4358.30 exit=4351.70 (stop) R=-1.00
